Airline,Origin,Destination,Date,Departure Time,Arrival Time,Cabin Class,Flight Duration (hrs),Price (USD)
American Airlines,MUC,ATL,2024-09-13,00:48,05:52,Business,5.3,921.51
United,LAX,FRA,2024-09-14,19:55,23:11,First,11.11,2398.25
United,YYZ,ORD,2024-09-14,07:50,22:46,Business,4.59,750.44
Delta,DFW,JFK,2024-09-13,12:32,03:46,Business,8.1,1324.11
American Airlines,YYZ,JFK,2024-09-18,02:35,00:17,First,8.41,614.18
Delta,YVR,ORD,2024-09-12,19:53,23:45,First,5.99,1758.3
American Airlines,LAX,ATL,2024-09-12,04:26,11:54,Economy,1.51,1326.34
Lufthansa,YVR,ORD,2024-09-16,01:31,11:43,First,8.24,4014.95
Delta,ORD,FRA,2024-09-12,17:34,02:41,Economy,7.66,1449.44
United,YYZ,DFW,2024-09-12,01:45,23:40,First,1.92,3261.76
Lufthansa,ATL,MUC,2024-09-18,07:44,00:53,First,8.01,1549.53
United,SFO,ORD,2024-09-12,11:47,11:14,Business,6.34,3244.32
Air Canada,JFK,FRA,2024-09-14,05:31,18:55,First,2.32,979.46
Air Canada,FRA,YVR,2024-09-15,14:59,11:13,Business,8.82,1047.29
American Airlines,ORD,YVR,2024-09-14,07:12,03:20,Business,2.04,296.97
American Airlines,JFK,LAX,2024-09-16,21:08,01:29,First,2.26,2677.63
Lufthansa,JFK,YYZ,2024-09-12,20:12,16:57,Business,3.82,748.05
Lufthansa,DFW,SFO,2024-09-16,11:32,17:23,Economy,8.3,1519.83
American Airlines,YYZ,YVR,2024-09-17,17:53,13:01,First,4.0,1452.98
Air Canada,MUC,JFK,2024-09-13,11:48,07:34,Economy,9.94,1601.44
Lufthansa,ATL,SFO,2024-09-14,22:28,19:16,Business,2.7,1915.3
Delta,ORD,YVR,2024-09-14,12:45,09:32,Business,4.04,2762.11
Lufthansa,FRA,ATL,2024-09-16,03:05,07:26,Economy,4.98,1041.01
Lufthansa,MUC,YYZ,2024-09-18,04:30,00:29,Business,3.48,3191.02
United,SFO,JFK,2024-09-13,02:55,05:26,Economy,1.94,1005.03
Delta,ORD,ATL,2024-09-17,16:33,14:15,Economy,5.92,259.6
American Airlines,FRA,DFW,2024-09-17,16:40,18:30,First,11.96,2893.56
American Airlines,YVR,SFO,2024-09-17,13:12,11:15,Economy,3.11,841.53
Air Canada,FRA,LAX,2024-09-17,22:31,22:21,First,11.85,4060.34
United,YYZ,SFO,2024-09-17,01:55,16:45,Business,8.92,2289.97
Air Canada,MUC,FRA,2024-09-15,16:05,12:04,First,11.41,4516.91
Air Canada,JFK,ORD,2024-09-18,06:02,04:09,Economy,6.62,714.42
Delta,JFK,SFO,2024-09-16,00:12,17:46,Business,9.71,1854.8
Air Canada,ORD,LAX,2024-09-17,10:32,21:40,First,5.21,488.3
Delta,ATL,JFK,2024-09-13,08:13,17:12,First,8.57,4374.45
American Airlines,JFK,ORD,2024-09-13,20:35,08:58,Economy,4.8,1450.83
Lufthansa,LAX,JFK,2024-09-18,19:19,20:52,First,8.96,4810.44
Lufthansa,ORD,DFW,2024-09-17,22:24,18:34,First,7.79,1750.36
American Airlines,YYZ,YVR,2024-09-16,18:27,04:40,Economy,4.05,1744.52
American Airlines,SFO,YVR,2024-09-12,10:27,13:53,Economy,1.68,1240.16
United,ORD,MUC,2024-09-12,23:17,16:14,Business,2.29,2120.23
United,YVR,SFO,2024-09-13,20:18,14:46,First,10.25,2527.35
United,SFO,YYZ,2024-09-16,06:47,22:14,First,1.94,2477.82
Lufthansa,ATL,DFW,2024-09-14,19:40,21:53,Business,3.65,2415.35
Lufthansa,SFO,DFW,2024-09-14,01:46,04:52,Business,3.4,2290.84
United,ATL,YVR,2024-09-12,01:05,08:48,Business,9.14,2782.05
American Airlines,LAX,JFK,2024-09-13,10:52,08:17,Business,8.97,3378.14
United,SFO,JFK,2024-09-17,14:05,13:00,Business,8.37,3085.42
Delta,SFO,ORD,2024-09-15,20:51,22:17,Economy,11.06,1519.27
American Airlines,DFW,SFO,2024-09-12,02:31,13:31,Business,10.04,1344.34
United,YYZ,SFO,2024-09-12,21:12,02:07,First,3.2,5776.43
American Airlines,DFW,JFK,2024-09-15,18:00,09:57,Economy,7.02,1310.9
United,FRA,LAX,2024-09-12,20:33,11:10,Business,10.63,2884.43
United,YYZ,YVR,2024-09-16,01:26,16:27,First,8.53,2143.24
Air Canada,ORD,MUC,2024-09-14,09:04,13:20,Business,1.1,3746.98
Lufthansa,YYZ,SFO,2024-09-12,13:14,22:38,Business,11.41,721.22
American Airlines,ATL,ORD,2024-09-16,15:05,17:25,Business,7.32,1714.1
Air Canada,YVR,DFW,2024-09-17,11:13,03:22,Business,8.01,2913.26
Lufthansa,ORD,SFO,2024-09-15,06:46,04:19,Economy,8.69,1367.92
Delta,YVR,FRA,2024-09-17,22:56,20:19,Economy,1.17,1688.2
Air Canada,YYZ,MUC,2024-09-12,06:21,07:31,Economy,7.4,687.68
Delta,LAX,JFK,2024-09-15,02:58,04:45,Economy,1.12,1564.86
United,LAX,JFK,2024-09-15,23:14,17:27,Business,10.89,2614.39
Delta,MUC,SFO,2024-09-13,03:02,14:56,Business,7.28,3632.67
Lufthansa,DFW,JFK,2024-09-13,19:03,17:41,First,4.3,2308.63
Delta,MUC,DFW,2024-09-18,00:05,17:33,First,2.51,4567.57
Air Canada,LAX,JFK,2024-09-17,10:02,12:15,Business,6.92,3527.66
Delta,DFW,SFO,2024-09-15,16:47,16:02,Economy,10.63,798.75
United,MUC,LAX,2024-09-12,23:53,07:48,First,8.51,2257.13
Delta,SFO,YYZ,2024-09-12,23:47,12:48,First,7.03,6279.44
United,SFO,ORD,2024-09-16,06:25,10:26,First,7.26,1509.69
American Airlines,DFW,SFO,2024-09-15,15:28,00:21,Economy,10.5,1132.09
Air Canada,FRA,ATL,2024-09-13,14:02,01:03,First,9.82,2103.54
Lufthansa,SFO,FRA,2024-09-13,02:13,03:13,Economy,9.98,997.18
Air Canada,YVR,SFO,2024-09-14,09:30,19:50,Business,6.81,2426.53
Air Canada,YYZ,DFW,2024-09-17,10:28,23:29,Business,11.75,777.29
United,MUC,FRA,2024-09-16,14:30,20:41,Business,5.87,2226.52
American Airlines,LAX,FRA,2024-09-18,12:21,03:22,Economy,7.23,349.0
Lufthansa,LAX,DFW,2024-09-16,09:44,09:19,Business,7.03,479.69
American Airlines,LAX,ORD,2024-09-16,05:27,03:27,Business,1.49,739.95
Delta,DFW,JFK,2024-09-13,04:51,01:05,Business,10.5,3064.93
American Airlines,MUC,SFO,2024-09-16,15:22,13:52,Economy,4.7,689.37
American Airlines,JFK,MUC,2024-09-18,15:46,23:15,Business,9.04,2292.93
United,FRA,DFW,2024-09-15,10:06,05:37,Business,9.04,1106.06
Lufthansa,ORD,ATL,2024-09-16,08:01,09:40,Business,3.8,2206.53
Air Canada,MUC,JFK,2024-09-12,05:26,12:23,Economy,3.86,1343.28
Lufthansa,FRA,SFO,2024-09-17,20:11,17:05,Economy,8.48,162.1
American Airlines,ORD,FRA,2024-09-12,10:18,01:00,First,2.62,872.14
Delta,SFO,YVR,2024-09-14,02:38,15:52,First,5.97,5905.08
Delta,LAX,JFK,2024-09-15,09:45,15:55,Economy,6.73,696.87
United,ATL,MUC,2024-09-17,01:55,16:27,First,10.87,1007.1
American Airlines,FRA,ORD,2024-09-15,12:01,19:58,Business,8.78,3125.83
Delta,SFO,FRA,2024-09-18,01:58,19:17,Business,3.2,3009.78
Lufthansa,ORD,LAX,2024-09-15,15:23,09:17,Business,11.63,687.11
Air Canada,JFK,DFW,2024-09-18,15:23,02:21,Economy,2.88,1359.45
United,MUC,YVR,2024-09-12,15:50,23:06,Business,2.55,3873.99
United,JFK,ORD,2024-09-13,03:18,00:27,Business,9.58,1341.5
Air Canada,LAX,YVR,2024-09-17,18:10,14:15,Business,7.52,1177.7
Air Canada,LAX,ATL,2024-09-15,04:14,13:20,Business,1.82,2052.22
Delta,ORD,ATL,2024-09-14,04:06,09:49,Economy,1.11,1013.73
American Airlines,DFW,JFK,2024-09-17,12:22,01:07,First,1.84,998.02
Delta,ORD,YVR,2024-09-16,13:02,06:52,First,4.39,5138.74
Lufthansa,JFK,YVR,2024-09-17,21:27,17:42,Economy,2.07,1110.1
United,FRA,ATL,2024-09-13,11:08,23:57,First,7.35,5829.79
Air Canada,ATL,JFK,2024-09-18,10:56,05:03,Business,1.65,3882.34
Air Canada,FRA,YVR,2024-09-14,07:54,12:12,Economy,9.96,416.09
Air Canada,YYZ,ORD,2024-09-14,08:51,21:40,Business,1.24,3620.1
Air Canada,YYZ,ATL,2024-09-14,03:50,03:30,Economy,4.62,1782.75
United,DFW,SFO,2024-09-12,23:26,14:32,Economy,6.22,1191.11
American Airlines,JFK,ORD,2024-09-15,10:50,09:56,First,5.97,5210.29
Air Canada,ORD,ATL,2024-09-17,08:32,18:16,First,8.24,523.24
Delta,JFK,ORD,2024-09-17,01:07,10:43,First,6.01,2598.43
American Airlines,ORD,YYZ,2024-09-12,07:32,02:17,First,5.73,402.03
Air Canada,YVR,LAX,2024-09-12,08:31,21:09,Business,7.34,870.61
Lufthansa,FRA,JFK,2024-09-18,21:11,21:51,Business,10.98,1583.88
Air Canada,JFK,SFO,2024-09-17,16:32,14:28,First,8.23,5157.35
American Airlines,MUC,YYZ,2024-09-16,07:59,09:53,Business,5.55,2827.53
Air Canada,ATL,DFW,2024-09-12,04:34,03:24,First,5.75,2807.9
United,ATL,YYZ,2024-09-14,06:05,03:38,Business,9.43,2365.23
Delta,JFK,ATL,2024-09-18,11:32,01:34,First,10.96,1891.29
American Airlines,YYZ,DFW,2024-09-17,05:38,02:01,First,3.95,4321.01
Lufthansa,ORD,MUC,2024-09-18,15:18,14:14,Business,7.12,2191.19
Lufthansa,MUC,ORD,2024-09-15,22:55,08:08,First,6.64,5181.58
Lufthansa,FRA,JFK,2024-09-14,10:47,14:29,First,9.14,1082.69
United,SFO,ATL,2024-09-12,18:19,10:07,First,2.24,4829.94
Lufthansa,DFW,ORD,2024-09-16,11:46,04:46,Business,3.51,1148.86
American Airlines,ORD,FRA,2024-09-16,09:25,14:05,Economy,1.59,1918.52
Delta,LAX,MUC,2024-09-15,04:53,05:55,First,8.0,643.79
American Airlines,YVR,YYZ,2024-09-12,15:31,01:24,Business,1.23,1343.74
Lufthansa,FRA,ATL,2024-09-17,02:23,21:11,Economy,7.87,2097.22
American Airlines,JFK,YVR,2024-09-12,04:10,12:48,First,5.74,3719.72
Air Canada,FRA,LAX,2024-09-15,23:02,19:45,Economy,6.88,1768.45
Air Canada,DFW,FRA,2024-09-15,16:55,16:14,Business,4.76,3416.94
United,LAX,YVR,2024-09-16,13:22,17:52,Economy,2.5,1031.29
Air Canada,SFO,LAX,2024-09-16,11:29,06:36,Economy,10.02,1034.67
Air Canada,ORD,DFW,2024-09-18,14:47,11:01,Economy,5.63,1295.87
Lufthansa,YYZ,SFO,2024-09-17,15:48,14:16,Economy,10.59,804.46
Lufthansa,YYZ,ORD,2024-09-17,00:00,10:42,Business,7.51,1610.85
Air Canada,YYZ,MUC,2024-09-13,18:24,11:59,Economy,6.22,1355.27
Air Canada,JFK,LAX,2024-09-17,20:12,00:44,Economy,8.14,444.43
American Airlines,ATL,ORD,2024-09-12,20:22,13:02,Economy,7.88,1484.43
American Airlines,ATL,MUC,2024-09-18,23:38,00:03,Economy,8.34,704.47
Air Canada,FRA,LAX,2024-09-17,02:46,09:38,Economy,4.71,1296.9
Air Canada,YVR,FRA,2024-09-16,01:56,19:47,Economy,1.84,283.75
Air Canada,MUC,YYZ,2024-09-14,10:33,02:38,Business,10.71,526.05
Delta,SFO,ORD,2024-09-13,23:26,16:41,Economy,4.65,891.59
Air Canada,ORD,YVR,2024-09-18,10:58,05:09,Business,5.21,1530.42
Lufthansa,YYZ,JFK,2024-09-18,13:01,04:22,First,5.84,3054.63
Air Canada,ATL,YYZ,2024-09-15,11:46,08:46,First,9.39,3033.18
Delta,MUC,YYZ,2024-09-14,04:46,20:28,Business,7.13,2508.1
Lufthansa,SFO,YVR,2024-09-12,00:47,16:07,Economy,5.9,700.53
Delta,FRA,DFW,2024-09-14,16:18,08:44,Business,11.55,2570.47
United,ORD,LAX,2024-09-14,23:41,10:31,Economy,2.64,1200.96
Delta,LAX,FRA,2024-09-16,16:17,21:08,Economy,5.63,1802.81
American Airlines,JFK,LAX,2024-09-16,10:23,21:12,First,3.08,3996.98
United,ORD,YVR,2024-09-15,03:54,12:52,Economy,4.19,743.44
Lufthansa,ATL,DFW,2024-09-13,22:24,00:49,Business,1.26,1027.67
Air Canada,DFW,YYZ,2024-09-18,20:09,19:20,Economy,5.57,1181.93
Lufthansa,YVR,JFK,2024-09-18,02:54,22:36,Economy,5.63,514.47
Lufthansa,ORD,ATL,2024-09-15,21:16,17:51,Business,7.91,1773.94
United,YYZ,MUC,2024-09-14,05:58,11:19,Economy,2.13,958.34
American Airlines,DFW,JFK,2024-09-18,02:04,17:54,Economy,11.65,1414.69
American Airlines,DFW,FRA,2024-09-13,09:56,23:36,Economy,10.12,1266.41
Lufthansa,YYZ,MUC,2024-09-13,08:40,08:07,First,2.47,372.83
Lufthansa,LAX,SFO,2024-09-12,09:07,15:03,Business,8.13,1393.41
Lufthansa,ATL,DFW,2024-09-12,10:13,12:17,Business,5.52,1734.96
Delta,DFW,ATL,2024-09-16,02:45,21:52,Economy,1.97,355.75
American Airlines,FRA,JFK,2024-09-12,10:10,04:28,Economy,4.87,1633.87
Air Canada,DFW,SFO,2024-09-14,16:24,02:42,First,5.16,3819.08
Air Canada,FRA,JFK,2024-09-13,23:57,22:36,First,10.97,4047.69
Air Canada,ATL,SFO,2024-09-14,11:30,08:38,First,2.98,3884.47
Delta,LAX,YYZ,2024-09-12,00:45,20:49,Economy,3.99,1699.28
Delta,YYZ,ORD,2024-09-15,01:18,16:58,Economy,2.95,1094.48
Air Canada,FRA,MUC,2024-09-14,04:55,08:40,Economy,3.26,933.53
American Airlines,DFW,SFO,2024-09-13,07:55,08:24,Economy,2.62,1179.11
Air Canada,YVR,DFW,2024-09-16,13:36,07:17,First,9.19,4986.14
United,YVR,ATL,2024-09-13,06:01,17:13,Economy,2.04,1224.77
Air Canada,DFW,YVR,2024-09-14,06:44,01:05,Business,4.17,3333.68
Lufthansa,FRA,LAX,2024-09-13,22:49,06:42,First,10.1,5898.83
Air Canada,YYZ,YVR,2024-09-15,21:00,13:33,Economy,7.83,1990.91
Lufthansa,ATL,SFO,2024-09-18,16:48,23:34,Business,2.45,1166.52
American Airlines,LAX,MUC,2024-09-13,18:49,12:14,Economy,11.7,1806.38
Air Canada,JFK,DFW,2024-09-17,11:12,18:59,Business,3.52,3510.97
Lufthansa,JFK,MUC,2024-09-15,21:38,02:12,First,4.64,2252.16
Lufthansa,YVR,SFO,2024-09-13,23:28,20:43,Business,6.29,1039.44
Lufthansa,YYZ,SFO,2024-09-13,16:47,15:48,Economy,8.77,867.41
Lufthansa,ATL,MUC,2024-09-15,18:01,10:34,First,5.5,1581.21
Air Canada,JFK,SFO,2024-09-12,07:19,11:46,Economy,3.93,1747.01
United,YYZ,DFW,2024-09-13,13:59,04:33,First,5.34,5447.21
Air Canada,YVR,LAX,2024-09-14,15:10,02:09,First,7.58,532.5
United,LAX,ATL,2024-09-15,18:32,17:21,First,5.13,2176.53
United,ATL,ORD,2024-09-17,09:28,01:51,Economy,4.63,812.42
Lufthansa,MUC,LAX,2024-09-15,03:48,13:57,Economy,8.79,1529.17
Lufthansa,ATL,JFK,2024-09-12,11:39,00:36,Business,2.1,2273.79
Delta,DFW,YVR,2024-09-18,06:56,04:26,First,5.02,5676.07
Air Canada,YYZ,LAX,2024-09-18,19:28,21:06,Business,11.28,1823.71
United,ATL,ORD,2024-09-18,00:49,12:37,Economy,11.17,687.04
Air Canada,JFK,YVR,2024-09-12,06:19,11:40,Business,2.7,2294.77
American Airlines,ORD,SFO,2024-09-12,02:26,02:14,Business,6.24,552.86
Delta,FRA,YYZ,2024-09-13,18:26,19:16,Economy,9.03,792.83
United,JFK,SFO,2024-09-12,19:14,13:31,First,4.06,1096.03
Air Canada,JFK,LAX,2024-09-14,13:07,18:34,First,1.32,5574.01
American Airlines,SFO,LAX,2024-09-15,02:26,09:01,Business,8.08,3644.8
Lufthansa,ATL,FRA,2024-09-18,21:21,15:44,First,3.05,4840.72
United,ATL,LAX,2024-09-12,15:26,23:03,First,5.54,4616.05
Delta,SFO,ORD,2024-09-14,06:53,09:27,First,4.08,3986.05
Air Canada,MUC,JFK,2024-09-14,21:56,20:12,Business,2.12,2049.78
American Airlines,JFK,MUC,2024-09-12,18:36,01:54,First,8.38,767.42
Air Canada,YYZ,ATL,2024-09-13,15:09,11:45,First,6.94,4343.83
Delta,FRA,ATL,2024-09-18,22:47,07:30,First,5.56,3938.93
Air Canada,JFK,MUC,2024-09-12,12:34,07:31,First,2.07,1171.81
Lufthansa,ATL,FRA,2024-09-18,23:27,18:25,First,11.09,3390.73
Air Canada,YYZ,ATL,2024-09-18,15:18,03:03,First,1.75,3211.0
United,ORD,ATL,2024-09-14,00:38,05:56,Business,7.98,2179.93
Delta,YYZ,FRA,2024-09-14,15:43,09:17,Economy,9.84,711.63
American Airlines,YYZ,DFW,2024-09-16,04:00,10:14,Economy,9.62,1792.67
United,ATL,MUC,2024-09-16,02:16,18:46,Business,3.76,509.04
Air Canada,FRA,ORD,2024-09-15,07:28,23:43,Business,2.31,3618.02
American Airlines,MUC,LAX,2024-09-13,09:35,04:31,Business,4.02,3162.62
Air Canada,MUC,YVR,2024-09-18,23:16,10:02,Economy,9.65,167.26
United,ATL,LAX,2024-09-17,15:31,15:20,First,5.62,2416.18
Air Canada,ATL,DFW,2024-09-13,19:04,21:38,Economy,2.23,1642.76
Air Canada,YVR,SFO,2024-09-14,15:18,16:37,Economy,3.56,1693.45
United,LAX,ORD,2024-09-14,00:53,10:43,Economy,6.46,1065.26
United,YVR,ORD,2024-09-12,04:43,20:57,Economy,9.6,1707.06
Air Canada,YYZ,YVR,2024-09-16,16:15,14:11,Economy,6.66,1405.7
United,LAX,ATL,2024-09-18,06:43,23:43,Economy,7.37,1262.15
Delta,ORD,YVR,2024-09-13,04:39,03:46,Economy,6.24,683.2
United,DFW,LAX,2024-09-14,16:39,15:03,Economy,9.15,520.24
Delta,DFW,YVR,2024-09-17,12:22,04:17,First,7.51,3774.57
American Airlines,SFO,YVR,2024-09-14,17:12,14:57,Economy,3.44,482.68
Delta,DFW,FRA,2024-09-15,15:35,12:36,Business,4.38,617.57
American Airlines,ORD,DFW,2024-09-12,00:08,00:40,Economy,2.42,725.43
Air Canada,DFW,JFK,2024-09-15,21:21,12:18,Business,10.65,2832.19
Delta,MUC,FRA,2024-09-17,01:26,15:57,Economy,2.16,508.47
Lufthansa,DFW,FRA,2024-09-14,08:04,09:30,Business,3.61,3646.65
United,JFK,ORD,2024-09-12,12:56,07:59,Business,3.99,2179.79
Air Canada,SFO,LAX,2024-09-15,20:15,11:55,First,1.91,1666.85
Air Canada,YVR,JFK,2024-09-14,07:22,20:17,First,3.98,1928.91
United,ATL,DFW,2024-09-17,13:38,23:11,Economy,9.77,1334.05
Lufthansa,DFW,JFK,2024-09-13,14:55,22:22,First,4.51,4576.45
Delta,LAX,YVR,2024-09-15,16:40,05:21,Economy,8.09,379.55
Delta,YYZ,MUC,2024-09-15,01:18,22:14,Business,2.13,3691.04
Delta,ORD,SFO,2024-09-12,10:12,09:05,Economy,6.53,1308.15
Lufthansa,JFK,ORD,2024-09-13,19:09,11:58,Business,10.33,4397.8
American Airlines,JFK,YVR,2024-09-12,07:27,06:43,First,11.28,954.73
United,DFW,SFO,2024-09-17,19:47,02:33,Economy,2.48,602.01
American Airlines,FRA,ATL,2024-09-17,11:43,07:11,Business,3.55,572.63
Air Canada,LAX,ATL,2024-09-16,20:10,21:27,Business,4.31,1643.06
Air Canada,ATL,YVR,2024-09-17,16:24,21:51,Business,1.79,1476.01
American Airlines,ATL,MUC,2024-09-18,02:51,16:34,First,10.98,1516.31
American Airlines,FRA,YVR,2024-09-14,08:37,12:09,Business,5.27,580.99
Lufthansa,DFW,FRA,2024-09-18,20:19,08:56,Economy,5.66,394.53
Lufthansa,JFK,SFO,2024-09-13,22:03,12:53,First,9.66,5575.98
American Airlines,FRA,SFO,2024-09-14,01:48,06:07,Business,5.46,3591.05
American Airlines,JFK,YVR,2024-09-13,10:22,15:00,Business,9.52,677.88
Air Canada,YVR,SFO,2024-09-18,02:19,11:59,Economy,10.84,1147.58
United,YVR,JFK,2024-09-16,01:47,03:39,Business,9.73,3868.52
Lufthansa,YVR,JFK,2024-09-14,10:49,06:45,First,2.15,5432.54
American Airlines,FRA,MUC,2024-09-12,04:03,23:13,Business,8.57,1045.46
American Airlines,LAX,JFK,2024-09-12,10:14,19:33,First,8.9,5014.77
United,YYZ,ATL,2024-09-17,01:50,01:30,Economy,4.81,1997.94
Lufthansa,JFK,YYZ,2024-09-13,10:29,00:09,Economy,7.98,1893.61
Lufthansa,JFK,LAX,2024-09-17,21:45,23:31,Business,8.61,594.26
Delta,LAX,FRA,2024-09-18,20:38,20:45,Economy,7.08,2079.45
Delta,YVR,FRA,2024-09-12,20:11,23:47,Business,5.46,3747.28
Delta,JFK,FRA,2024-09-13,19:03,11:24,First,4.29,2032.07
Delta,YVR,LAX,2024-09-13,13:29,23:35,Economy,11.85,1681.39
Lufthansa,YYZ,JFK,2024-09-16,12:13,21:55,Economy,2.8,818.14
Air Canada,MUC,FRA,2024-09-16,22:06,01:46,Economy,6.2,1804.01
Air Canada,LAX,ATL,2024-09-18,12:44,02:08,First,8.5,2279.62
Delta,ORD,LAX,2024-09-15,12:42,16:11,Business,9.73,1004.91
American Airlines,FRA,SFO,2024-09-16,05:24,08:15,Economy,7.58,1193.15
Air Canada,YVR,YYZ,2024-09-15,22:00,04:32,Economy,4.18,1165.76
Lufthansa,SFO,ATL,2024-09-17,06:51,00:49,Economy,3.9,1561.01
Delta,DFW,YVR,2024-09-14,18:39,04:58,First,4.72,3115.99
Air Canada,MUC,YYZ,2024-09-14,14:07,12:24,Economy,8.88,1524.24
United,ATL,LAX,2024-09-12,10:06,20:36,First,7.88,5453.18
United,MUC,ATL,2024-09-15,00:10,22:05,First,6.32,4824.4
American Airlines,LAX,YYZ,2024-09-12,09:39,21:06,Economy,1.8,1530.07
United,ORD,YVR,2024-09-14,15:38,11:56,First,4.87,1182.53
Air Canada,SFO,ORD,2024-09-12,04:57,13:06,Economy,7.14,128.5
Delta,DFW,MUC,2024-09-17,10:36,07:19,First,2.89,4368.06
American Airlines,ORD,JFK,2024-09-16,19:06,22:19,First,1.77,4747.12
American Airlines,ATL,MUC,2024-09-16,18:12,08:07,Economy,7.86,1522.62
Delta,FRA,ORD,2024-09-18,00:13,07:26,Economy,10.45,2100.41
United,MUC,ORD,2024-09-14,15:16,21:18,First,9.26,5353.1
United,YYZ,FRA,2024-09-14,22:28,12:15,Business,3.33,1253.31
United,JFK,ATL,2024-09-14,07:17,08:43,Business,8.44,1970.37
Lufthansa,ATL,MUC,2024-09-12,23:38,15:43,First,6.43,2910.09
Lufthansa,JFK,LAX,2024-09-18,21:00,19:51,Economy,6.48,2019.42
